,1Wc1,1KWc1,MWEc1,CPMc1,CWHc1,YWMc1,YWKc1,MWBWX,BL2c1,AGRc1,WEAc1,NWTc1,LWBc1
2020-11-26,246.33107638749678,246.33107638749678,246.33107638749678,245.99405348931322,246.33107638749678,246.33107638749678,246.33107638749678,245.99405348931322,245.99405348931322,245.99405348931322,245.99405348931322,244.9846222506176,245.99405348931322
2020-11-27,246.62841460025533,246.62841460025533,246.62841460025533,246.33107638749678,246.62841460025533,246.62841460025533,246.62841460025533,246.33107638749678,246.33107638749678,246.33107638749678,246.33107638749678,245.25362745724954,246.33107638749678
2020-11-28,247.08713433829428,247.08713433829428,247.08713433829428,246.62841460025533,247.08713433829428,247.08713433829428,247.08713433829428,246.62841460025533,246.62841460025533,246.62841460025533,246.62841460025533,245.6005249653866,246.62841460025533
2020-11-29,247.26097433748603,247.26097433748603,247.26097433748603,247.08713433829428,247.26097433748603,247.26097433748603,247.26097433748603,247.08713433829428,247.08713433829428,247.08713433829428,247.08713433829428,245.99405348931322,247.08713433829428
2020-11-30,247.46836805259355,247.46836805259355,247.46836805259355,247.26097433748603,247.46836805259355,247.46836805259355,247.46836805259355,247.26097433748603,247.26097433748603,247.26097433748603,247.26097433748603,246.33107638749678,247.26097433748603
2020-12-01,247.74210691648796,247.74210691648796,247.74210691648796,247.46836805259355,247.74210691648796,247.74210691648796,247.74210691648796,247.46836805259355,247.46836805259355,247.46836805259355,247.46836805259355,246.62841460025533,247.46836805259355
2020-12-02,248.05202414162108,248.05202414162108,248.05202414162108,247.74210691648796,248.05202414162108,248.05202414162108,248.05202414162108,247.74210691648796,247.74210691648796,247.74210691648796,247.74210691648796,247.08713433829428,247.74210691648796
2020-12-03,248.29628728053777,248.29628728053777,248.29628728053777,248.05202414162108,248.29628728053777,248.29628728053777,248.29628728053777,248.05202414162108,248.05202414162108,248.05202414162108,248.05202414162108,247.26097433748603,248.05202414162108
2020-12-04,248.49320564387656,248.49320564387656,248.49320564387656,248.29628728053777,248.49320564387656,248.49320564387656,248.49320564387656,248.29628728053777,248.29628728053777,248.29628728053777,248.29628728053777,247.46836805259355,248.29628728053777
2020-12-05,248.8454883619228,248.8454883619228,248.8454883619228,248.49320564387656,248.8454883619228,248.8454883619228,248.8454883619228,248.49320564387656,248.49320564387656,248.49320564387656,248.49320564387656,247.74210691648796,248.49320564387656
2020-12-06,248.90863858400732,248.90863858400732,248.90863858400732,248.8454883619228,248.90863858400732,248.90863858400732,248.90863858400732,248.8454883619228,248.8454883619228,248.8454883619228,248.8454883619228,248.05202414162108,248.8454883619228
2020-12-07,249.0029399455146,249.0029399455146,249.0029399455146,248.90863858400732,249.0029399455146,249.0029399455146,249.0029399455146,248.90863858400732,248.90863858400732,248.90863858400732,248.90863858400732,248.29628728053777,248.90863858400732
2020-12-08,249.1630822450017,249.1630822450017,249.1630822450017,249.0029399455146,249.1630822450017,249.1630822450017,249.1630822450017,249.0029399455146,249.0029399455146,249.0029399455146,249.0029399455146,248.49320564387656,249.0029399455146
2020-12-09,249.36080666197867,249.36080666197867,249.36080666197867,249.1630822450017,249.36080666197867,249.36080666197867,249.36080666197867,249.1630822450017,249.1630822450017,249.1630822450017,249.1630822450017,248.8454883619228,249.1630822450017
2020-12-10,249.49615960248852,249.49615960248852,249.49615960248852,249.36080666197867,249.49615960248852,249.49615960248852,249.49615960248852,249.36080666197867,249.36080666197867,249.36080666197867,249.36080666197867,248.90863858400732,249.36080666197867
2020-12-11,249.58926213593182,249.58926213593182,249.58926213593182,249.49615960248852,249.58926213593182,249.58926213593182,249.58926213593182,249.49615960248852,249.49615960248852,249.49615960248852,249.49615960248852,249.0029399455146,249.49615960248852
2020-12-12,249.8445316478564,249.8445316478564,249.8445316478564,249.58926213593182,249.8445316478564,249.8445316478564,249.8445316478564,249.58926213593182,249.58926213593182,249.58926213593182,249.58926213593182,249.1630822450017,249.58926213593182
2020-12-13,249.8190419947735,249.8190419947735,249.8190419947735,249.8445316478564,249.8190419947735,249.8190419947735,249.8190419947735,249.8445316478564,249.8445316478564,249.8445316478564,249.8445316478564,249.36080666197867,249.8445316478564
2020-12-14,249.83447901730383,249.83447901730383,249.83447901730383,249.8190419947735,249.83447901730383,249.83447901730383,249.83447901730383,249.8190419947735,249.8190419947735,249.8190419947735,249.8190419947735,249.49615960248852,249.8190419947735
